currentData,speed
33915636,21845
34011996,24966
34039900,151840
34118576,14979
34195956,27594
34232620,15573
34391596,19418
34499636,22795
34584316,10280
34618060,140160
34698196,14169
34771196,23831
34810780,14924
34889456,15420
34966836,11915
35057356,10922
35196220,584
35269056,18724
35349356,10922
35432576,11650
35526016,12787
35594636,15887
35674936,14979
35745016,18078
35815096,10922
35838620,6073
35931896,12483
36009276,11397
36080816,20971
36095580,7432
36168416,13443
36235576,12787
36312956,14563
36383036,18724
36453116,4128
36549476,104857
36645836,23831
36718836,104857
36802220,6720
37063396,20164
37159756,30840
37187660,1946
37267796,9532
37337876,131072
37415256,11397
37507236,7825
37635716,32768
37711636,9892
37840116,15420
37894300,186880
37968596,19418
38064956,16384
38156936,12192
38215500,10618
38294176,8738
38368636,34952
38441636,131072
38529236,11915
38600940,15573
38675236,74898
38751156,11650
38853356,8322
38943876,24966
39108856,17476
39187696,10280
39266536,24966
39307580,43382
39377496,8594
39444656,16384
39522036,16384
39603796,22795
39676796,11155
39693020,1507
39761476,37449
39843236,13107
39913316,17476
39984856,8192
40065156,52428
40078460,2336
40167356,14563
40243276,13443
40314816,14169
40335420,6056
40417016,10082
40501696,11650
40568856,27594
40656456,7598
40720860,16250
40790776,12192
40862316,12192
40930936,11155
41018536,10082
41091536,3912
41176216,5405
41272576,58254
41342656,15887
41437556,11915
41517856,12192
41665316,16384
41739776,7084
41831756,30840
41900376,11155
41973376,17476
42046376,15420
42134140,159626
42201136,8065
42274136,34952
42341296,11650
42493136,7489
42589496,22795
42685856,23831
42774916,7182
42847916,32768
42923836,11915
43027496,19418
43100496,16384
43161980,9221
43250876,9709
43290460,12792
43357456,12787
43434836,10485
43518056,7182
43583756,29127
43671356,12787
43741436,5825
43814436,131072
43897656,8456
43982336,14979
44049496,12787
44061340,3244
44132716,34952
44189820,10845
44264116,12192
44342956,11915
44413036,14169
44484576,11397
44566336,7943
44655396,19418
44728396,8192
44818916,11915
44896296,18078
44960700,9685
45033536,10699
45107996,12483
45153420,8176
45233556,8456
45318236,24966
45388316,13797
45467156,9532
45538860,11680
45614616,14563
45691996,9709
45778136,15887
45849676,10485
45924300,28750
46039476,11915
46052780,2695
46127076,8738
46217596,9198
46290596,13107
46357756,26214
46429296,7384
46509596,11650
46579676,8886
46664356,16384
46731516,15420
46804516,14169
46897956,9198
46970956,7281
47016380,151840
47099436,17476
47184116,12787
47255656,20164
47328656,10699
47397276,14979
47474656,13797
47540356,9198
47616276,19418
47689276,11397
47757896,16912
47787260,8760
47870316,13443
47915740,10220
47990036,18078
48055736,9532
48122896,14169
48198816,14563
48301180,12069
48374016,10082
48444096,15420
48517096,7281
48594476,24966
48667476,7710
48686620,631
48757996,131072
48815100,10050
48893776,9198
48997436,16384
49068976,14563
49149276,9198
49200540,163520
49277756,6808
49374116,34952
49470476,58254
49540556,11650
49585980,29730
49661736,16384
49730356,9709
49778700,16546
49844236,8738
49917236,14979
49987316,12483
50053016,15887
50120176,9362
50164140,10332
50235516,20971
50304136,13443
50382976,10082
50453056,10922
50545036,14169
50653076,14979
50678060,7008
50755276,11915
50832656,18724
50899816,12483
50990336,13443
51060416,7084
51136336,17476
51219556,23831
51294016,20164
51369936,9709
51448940,10076
51518856,15887
51612296,4096
51641660,105120
51726176,87381
51822536,21845
51895536,131072
51978756,14979
52027100,13410
52097016,12483
52162716,14979
52234256,11915
52318936,15420
52397776,17476
52412540,7008
52485376,14563
52541020,10011
52612396,18724
52682476,18078
52762776,15420
52832856,10082
52917536,14563
53005136,52428
53075216,7710
53155516,104857
53248956,18724
53311900,9344
53386196,29127
53440380,18688
53508836,15420
53578916,14979
53660676,15420
53745356,12483
53824196,9532
53892816,13797
53980416,7281
54047576,22795
54123496,13107
54190656,11155
54211260,5256
54278256,10082
54354176,11915
54425716,13107
54468220,9344
54558576,9532
54654936,12192
54720636,10082
54790716,9362
54853660,13803
54922116,10922
54995116,13443
55066656,13107
55133816,20164
55202436,10082
55239100,6289
55311936,14169
55367580,8535
55434576,34952
55501736,10922
55589336,5349
55656496,11915
55738256,30840
55753020,13626
55840456,34952
55910536,16384
55986456,17476
56056536,13107
56129536,20164
56138460,2695
56205456,16912
56266940,14950
56336856,17476
56404016,14979
56485776,13797
56557316,9709
56644916,5577
56733976,65536
56815736,10280
56891656,11155
56973416,13797
57037820,8565
57106276,8886
57166300,11081
57236216,20164
57306296,5242
57374916,131072
57465436,10280
57531136,14979
57551740,1717
57627496,7710
57718016,58254
57796856,12192
57866936,12483
57937016,13797
58002716,16384
58065660,14771
58134116,5957
58207116,24966
58280116,10485
58351656,12483
58427576,14169
58451100,20764
58521016,14563
58591096,6096
58658256,6636
58728336,32768
58815936,47662
58836540,3046
58902076,34952
58965020,5359
59042236,10922
59113776,11650
59179476,14979
59249556,14169
59318176,10699
59350460,11149
59439356,12787
59509436,14169
59575136,20164
59640836,6721
59735900,16578
59820416,12787
59864380,14113
59945976,9198
60040876,15887
60106576,12787
60172276,18724
60237976,10699
60321196,9532
60400036,19418
60465736,7598
60543116,29127
60610276,7943
60737296,9892
60835116,10922
60900816,12483
60975276,13107
61057036,13107
61135876,11650
61216176,11155
61300856,34952
61378236,9532
61451236,20971
61508340,512
61534620,926
61658556,65536
61734476,20971
61791580,210240
61862956,6808
61959316,34952
62026476,27594
62122836,87381
62177020,210240
62248396,19418
62343296,32768
62423596,11915
62505356,20971
62562460,12977
62633836,18724
62769616,13107
62848456,16912
62936056,7825
63155056,14563
63230976,16384
63309816,15420
63397416,13797
63461820,12278
63552176,6990
63645616,14979
63731756,18078
63803296,13443
63887976,21845
63953676,12787
64035436,14979
64121576,11915
64204796,18724
64270496,26214
64340576,9362
64412116,37449
64425420,3185
64509936,12787
64553900,8385
64631116,16384
64704116,19418
64771276,15420
64853036,6898
64921656,29127
64939340,105120
65020936,19418
65101236,11915
65166936,16384
65254536,10082
65324780,13889
65406376,8456
65521716,11915
65587416,12483
65711516,16912
65781596,10485
65838700,9618
65920296,7825
66004976,131072
66096956,6898
66169956,8192
66224140,198560
