currentData,speed
39292816,27594
39380416,13443
39456336,30840
39510520,93440
39599416,9198
39684096,3971
39771696,74898
39841776,16384
39923536,21845
40005296,8065
40088680,9618
40162976,9532
40262256,58254
40348396,87381
40435996,10485
40520676,4064
40618496,52428
40706096,32768
40802456,87381
40881296,8192
40949916,8322
41037516,8322
41116520,81760
41206876,15887
41314916,52428
41422956,104857
41498876,12483
41566200,6209
41634656,8594
41704736,52428
41780656,8886
41935416,10280
42025936,3196
42098936,4946
42411376,3030
42516496,6898
42612856,12787
42658280,140160
42741336,4854
42811416,43690
42901936,58254
42998296,6721
43126776,12483
43236440,4503
43310736,24966
43529736,4481
43626096,58254
43722456,8065
43818816,13443
43909336,27594
44005696,8192
44102056,11397
44198416,6808
44265576,13797
44328520,30368
44394056,52428
44484576,74898
44560496,9532
44645176,7825
44741536,12483
44858336,7182
44963456,40329
45042296,13797
45132816,22795
45223336,8322
45293416,17476
45356360,58400
45436496,21845
45512416,9532
45602936,87381
45693456,10082
45763536,52428
45806040,4004
45886176,16384
45956256,10699
46043856,11915
46140216,6553
46268696,74898
46359216,10485
46455576,10922
46551936,4262
46633696,23831
46703776,13107
46794296,6553
46908176,16912
47004536,14563
47074616,15887
47165136,24966
47255656,7182
47325736,15887
47412040,122640
47480496,4297
47576856,43690
47646936,12483
47737456,65536
47833816,6990
47930176,65536
48026536,9198
48108296,15887
48178376,74898
48248456,30840
48333136,8192
48429496,11650
48508336,65536
48584256,6898
48680616,10699
48776976,27594
48847056,16384
48889560,70080
48969696,32768
49039776,7281
49130296,20164
49226656,65536
49302576,6472
49387256,9892
49467720,79424
49542016,9532
49638376,7281
49708456,104857
49798976,10082
49901176,29127
49985856,9039
50055936,9709
50144996,74898
50241356,10922
50311436,9532
50401956,87381
50495560,7385
50562556,104857
50658916,12192
50755276,10699
50825356,104857
50915876,16912
50945240,198560
51012236,13107
51088156,9892
51172836,52428
51269196,7710
51345116,37449
51429796,14979
51523400,10044
51613756,43690
51710116,37449
51806476,8594
51873636,11155
51996276,6168
52066356,9532
