currentData,speed
65536,13797
150216,18724
221920,32704
287456,19418
350400,98112
414640,14445
484556,40329
543120,19297
608656,52428
671600,31963
735840,20089
802836,15420
864320,13765
906660,169360
972196,24966
992800,6488
1057040,37635
1125496,30840
1185520,23974
1258356,23831
1314000,15802
1378240,18601
1461296,20164
1597076,18724
1635200,81760
1699440,15330
1783956,21845
1827920,87888
1899296,52428
1956400,16352
2020640,24917
2115376,17476
2149120,22298
2240936,18078
2277600,19562
2341840,51100
2407376,14563
2470320,45552
2543156,32768
2598800,46720
2663040,54506
2731496,26214
2791520,6944
2859976,43690
2920000,30792
2984240,13027
3049776,40329
3112720,37376
3185556,19418
3241200,36986
3305440,14317
3373896,65536
3433920,18688
3522816,30840
3562400,7834
3626640,18601
3719916,20164
3755120,50613
3833796,17476
3883600,74752
3947840,30868
4022136,26214
4076320,37163
4147696,29127
4204800,42048
4269040,17520
4360856,43690
4397520,16489
4492256,32768
4526000,18395
4590240,59860
4683516,15887
4718720,128480
4784256,26214
4847200,53728
4911440,16060
4979896,74898
5039920,18306
5117136,24966
5168400,210240
5232640,17303
5309856,74898
5361120,9165
5439796,24966
5489600,181040
5553840,15434
5638356,29127
5682320,67859
5762456,16912
5810800,26953
5875040,87600
5961016,14979
6003520,24820
6105556,26214
6132000,105120
6196240,39906
6267616,15420
6352296,14563
6517440,6674
6594656,34952
6664736,74898
6755256,87381
6838640,20440
6905636,9532
6975716,87381
7045796,104857
7130476,87381
7224080,6880
7295456,27594
7456056,58254
7531976,87381
7616656,23831
7673760,5946
7775796,104857
7844416,74898
7940776,131072
8019616,14169
8059200,36708
8124736,11650
8221096,87381
8317456,74898
8399216,87381
8478056,20164
8568576,47662
8637360,15304
8708736,43690
8805096,30840
8891236,30840
8959856,74898
9044536,6636
9087040,29848
9183236,65536
9270836,58254
9367196,87381
9437276,18078
9507356,9362
9602256,87381
9698616,74898
9792056,52428
9859216,17476
9951196,7489
9986400,89546
10070916,20971
10143916,87381
10231516,104857
10301596,74898
10395036,65536
10472416,22795
