currentData,speed
65536,12483
119720,23360
199856,40329
264260,22344
347316,34952
392740,36572
462656,18078
521220,67160
598436,20971
649700,124586
713940,31702
786776,30840
842420,14600
937156,65536
970900,17130
1035140,48388
1118196,19418
1163620,122640
1239376,27594
1292100,35040
1356340,33482
1427716,27594
1484820,30792
1553276,30840
1613300,40880
1677540,15234
1744536,23831
1806020,22461
1899296,34952
1934500,21563
2011716,47662
2062980,20022
2132896,52428
2191460,15396
2256996,40329
2319940,44596
2384180,36708
2457016,27594
2512660,28032
2581116,58254
2641140,22745
2705380,28226
2797196,20971
2833860,198560
2902316,26214
2962340,65074
3026580,37163
3105256,16384
3155060,19856
3220596,37449
3283540,41528
3347780,21767
3441056,43690
3476260,14169
3541796,52428
3604740,36836
3686336,26214
3733220,67744
3811896,24966
3861700,45260
3928696,19418
3990180,147946
4054420,28169
4119956,37449
4182900,16523
4258656,34952
4311380,134320
4375620,15219
4454296,104857
4504100,21445
4581316,43690
4632580,38933
4696820,20022
4775496,65536
4825300,13272
4899596,32768
4953780,24333
5018020,39287
5087936,23831
5146500,105120
5220796,34952
5274980,17266
5339220,44384
5417896,24966
5467700,134608
5540536,24966
5596180,29848
5660420,17520
5727416,34952
5788900,32444
5883636,21845
5917380,52560
5981620,30173
6070516,26214
6110100,116800
6177096,24966
6238580,30034
6302820,35040
6378576,29127
6431300,36337
6505596,22795
6559780,93440
6635536,18724
6688260,27253
6765476,30840
6816740,55062
6883736,21845
6945220,27607
7009460,12446
7076456,52428
7137940,28810
7219536,18724
7266420,11680
7334876,131072
7394900,21608
7460436,27594
7523380,34141
7588916,40329
7651860,22247
7716100,55480
7802004,21845
7844580,18817
7932016,40329
7973060,5840
8037300,49056
8120356,29127
8165780,17520
8244456,24966
8294260,25306
8383156,40329
8422740,28669
8494116,37449
8551220,27253
8634276,22795
8679700,109013
8756916,10922
8808180,112906
8895616,30840
8936660,15017
9024096,16912
9065140,81760
9129380,16989
9203676,52428
9257860,48017
9332156,29127
9386340,37960
9450580,41853
9516116,37449
9579060,22831
9644596,40329
9707540,29543
9773076,52428
9836020,34246
9916156,23831
9964500,120693
10032956,29127
10092980,18493
10171656,104857
10221460,19272
10289916,43690
10349940,36790
10419856,34952
10478420,28365
10549796,19418
10606900,89546
10684116,24966
10735380,35040
10814056,34952
10863860,48388
10928100,20089
10998016,34952
11056580,30173
11125036,40329
11185060,23974
11265196,37449
11313540,15927
11399516,24966
11442020,151840
11511936,43690
11570500,25550
11634740,45422
11711956,26214
11763220,14334
11828756,37449
11891700,35040
11955940,22581
12022936,47662
12084420,28226
12151416,32768
12212900,13291
12298876,104857
12341380,14865
12425896,27594
12469860,44384
12539776,34952
12598340,18281
12662580,25696
12728116,47662
12791060,36013
12858056,34952
12919540,19297
12983780,32704
13049316,26214
13112260,81760
13177796,29127
13240740,36013
13304980,18601
13371976,87381
13433460,16892
13516516,16384
13561940,58400
13644996,34952
13690420,19087
13764716,104857
13818900,14016
13897576,52428
13947380,21332
14027516,37449
14075860,14138
14172056,37449
14204340,10512
14280096,58254
14332820,31536
14412956,40329
14461300,16685
14547276,58254
14589780,8621
14659696,52428
14718260,13741
14791096,18724
14919576,32768
14975220,17070
15056816,52428
15103700,23404
15170696,40329
15232180,51911
15297716,40329
15360660,34141
15429116,20164
15489140,84680
15554676,23831
15617620,66742
15686076,16384
15746100,40045
15820396,12192
15874580,89546
15938820,35040
16007276,29127
16067300,66186
16135756,21845
16195780,24138
16286064,27594
16324260,198560
16394176,27594
16452740,46720
16524116,23831
16581220,41528
16645460,42048
16710996,16912
16773940,157680
16840936,20164
16902420,155733
16966660,14157
17052636,74898
17095140,12600
17165056,131072
17223620,33243
17287860,30230
17359236,22795
17416340,70080
17487716,20164
17544820,19272
17609060,122640
17677516,26214
17737540,17176
17814756,87381
17866020,19466
17930260,15742
18004556,21845
18058740,70080
18124276,32768
18187220,8931
18251460,44596
18341816,18078
18379940,93440
18465916,40329
18508420,42412
18587096,43690
18636900,24820
18712656,21845
18765380,55062
18841136,27594
18893860,27740
18958100,28032
19035316,32768
19086580,12023
19165256,131072
19215060,32120
19279300,21608
19346296,104857
19407780,22745
19483536,30840
19536260,18354
19600500,42826
19673336,29127
19728980,42826
19794516,32768
19857460,13258
19921700,124586
19987236,21845
20050180,27607
20134696,27594
20178660,13803
20263176,32768
20307140,21900
20371380,30547
20452976,23831
20499860,198560
20566856,32768
20628340,11346
20692580,54020
20766876,30840
20821060,15417
20889516,74898
20949540,14460
21013780,42048
21092456,24966
21142260,25862
21210716,43690
21270740,39906
21340656,19418
21399220,151840
21466216,18078
21527700,132373
21604916,29127
21656180,27253
21720420,21413
21785956,20971
21848900,43534
21931956,29127
21977380,21024
22041620,21691
22114456,43690
22170100,24008
22260456,47662
22298580,17041
22368496,18724
22427060,48017
22494056,22795
22555540,146000
22626916,20164
22684020,79424
22748260,18688
22826936,37449
22876740,15768
22962716,26214
23005220,157680
23069460,41410
23142296,27594
23197940,21024
23264936,11915
23390660,32444
23457656,20164
23519140,23360
23587596,19418
23647620,74752
23720456,37449
23776100,28226
23841636,40329
23904580,17520
23973036,52428
24033060,9949
24097300,147946
24170136,22795
24265036,32768
24375996,26214
24467976,30840
24482740,93440
24565796,26214
24632956,21845
24705956,131072
24773116,32768
24803940,13237
24892836,47662
24971676,18724
25059276,87381
25141036,9532
25209656,87381
25297256,65536
25399456,87381
25446340,22630
25529396,131072
25603856,27594
25681236,32768
25773216,26214
25831780,33978
25897316,34952
25989296,16912
26056456,104857
26141136,20164
26227276,12192
26457956,10922
26533876,52428
26603956,34952
26675496,24966
26731140,19466
26796676,40329
26863836,174762
26930996,23831
27001076,14979
27091596,18078
27116580,35040
27195256,26214
27274096,24966
27341256,20164
27424476,52428
27512076,21845
27566260,45260
27631796,37449
27700416,34952
27774876,13443
27850796,10485
27938396,16384
28018696,37449
28084396,52428
28154476,34952
